id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
gcd,meet,i,en,499.14,1399.22,224.54,482.99,486.96,501.48,507.58,516.67,1312.88,1341.52,1443.05,1477.84,1420.82
gcd,beat,i,en,490.36,2696.28,772.56,441.77,462.32,495.20,521.87,530.63,2650.29,2417.65,2706.18,2759.06,2948.24
gcd,feet,i,en,503.79,2644.52,1560.50,524.43,540.75,582.55,532.61,338.59,2820.80,2937.77,3033.10,2713.51,1717.39
gcd,seat,i,en,535.84,2526.52,5212.71,486.84,513.50,533.17,549.34,596.33,3018.70,3023.94,625.39,3124.33,2840.27
gcd,heat,i,en,518.81,2521.87,1779.79,492.91,514.77,518.22,549.40,518.74,2484.93,2898.01,2200.98,2630.80,2394.65
gcd,fleet,i,en,517.09,2677.77,1220.71,464.60,506.25,530.88,564.91,518.79,2767.04,3121.78,2736.78,2497.27,2265.98
gcd,moss,a,en,1033.72,1426.28,420.61,1052.21,1059.88,987.34,1016.64,1052.56,1302.15,1352.77,1455.31,1415.20,1605.98
gcd,bot,a,en,954.73,1276.02,348.45,952.33,1003.37,940.57,997.17,880.21,1242.89,1245.05,1323.22,1270.95,1297.97
gcd,fought,a,en,939.71,1370.28,786.43,898.60,925.73,994.37,1007.58,872.26,1290.66,1146.07,1269.09,1404.93,1740.66
gcd,sought,a,en,835.45,1232.63,364.20,729.21,850.15,813.83,849.10,934.96,1200.45,1165.06,1232.97,1295.21,1269.46
gcd,caught,a,en,900.50,1284.39,567.36,828.50,846.45,908.40,989.72,929.42,1135.74,1165.28,1205.02,1289.75,1626.14
gcd,brought,a,en,949.90,1509.97,595.20,931.38,992.08,975.15,939.59,911.29,1379.44,1341.87,1363.79,1609.01,1855.72
gcd,moot,u,en,557.52,1085.14,634.40,548.68,537.68,608.49,573.29,519.48,1041.61,1114.30,1240.74,1189.26,839.78
gcd,boot,u,en,491.37,1320.56,598.36,553.51,505.00,553.93,475.18,369.24,1196.48,1162.58,1308.90,1324.65,1610.21
gcd,food,u,en,514.45,1108.11,173.56,492.28,476.85,498.15,516.91,588.08,1143.78,1101.90,1090.08,1080.54,1124.25
gcd,soothe,u,en,489.03,1359.01,777.51,482.66,479.30,469.79,488.70,524.70,1867.61,1474.33,1193.05,1153.20,1106.87
gcd,cooed,u,en,580.19,1051.94,263.43,509.57,522.38,585.43,606.78,676.78,1015.31,1084.00,1076.76,1027.04,1056.60
gcd,dude,u,en,646.29,1408.12,1293.31,518.35,517.05,528.27,1089.76,578.02,1604.57,1410.26,1398.97,1360.25,1266.54
gcd,mis,i,sp,604.27,1489.23,1217.64,534.27,608.50,506.75,728.16,643.66,1930.02,1671.14,1741.57,1125.33,978.07
gcd,bis,i,sp,507.97,2799.23,456.10,524.69,535.26,581.19,414.48,484.22,2849.86,2880.66,2920.70,2688.58,2656.38
gcd,pis,i,sp,528.49,2167.48,3571.07,558.05,563.33,385.69,368.02,767.36,2414.91,1085.53,2624.04,2333.58,2379.35
gcd,cito,i,sp,425.36,2142.50,2652.90,472.99,433.09,414.76,458.16,347.81,2707.38,2827.77,2871.94,1906.71,398.70
gcd,fito,i,sp,438.12,1230.43,2339.19,525.06,542.33,519.33,294.59,309.27,2801.72,1238.12,1044.84,551.82,515.66
gcd,quito,i,sp,420.90,1172.86,2781.90,520.99,526.54,515.93,281.62,259.40,1535.75,1875.10,527.10,533.29,1393.07
gcd,mas,a,sp,984.42,1531.47,891.35,1007.79,1056.53,986.09,959.73,911.96,1729.24,1684.10,1820.85,1262.05,1161.12
gcd,vas,a,sp,929.55,1454.08,1179.44,971.72,1008.52,962.43,1031.94,673.13,1689.70,1786.70,1708.19,1112.29,973.52
gcd,pasa,a,sp,981.50,1499.72,806.15,1020.65,1004.35,954.18,960.55,967.77,1750.48,1733.96,1744.21,1257.35,1012.61
gcd,sala,a,sp,913.46,1808.77,408.38,783.20,870.66,955.03,988.02,970.39,1882.49,1883.67,1778.91,1699.81,1798.96
gcd,fama,a,sp,950.53,1525.70,505.70,983.90,973.12,960.22,937.34,898.05,1543.96,1568.89,1616.36,1645.00,1254.28
gcd,cama,a,sp,1002.02,1668.56,309.75,998.12,1020.63,997.99,1055.12,938.24,1731.33,1663.56,1685.12,1677.99,1584.77
gcd,musa,u,sp,506.09,1613.76,980.41,493.85,518.15,487.04,550.50,480.89,988.56,1630.64,1718.25,1807.70,1923.64
gcd,bulto,u,sp,514.85,1582.21,987.28,489.78,505.37,525.95,519.82,533.33,1015.37,1308.19,1793.29,1796.53,1997.66
gcd,puso,u,sp,526.55,1197.71,567.97,493.27,511.83,525.65,531.70,570.28,1010.31,1027.61,1127.29,1256.61,1566.72
gcd,supo,u,sp,512.96,1051.62,230.70,524.89,510.38,510.56,503.28,515.70,1146.04,1014.03,1004.46,1006.94,1086.61
gcd,fumo,u,sp,693.25,1222.93,2049.00,681.97,729.94,767.02,630.30,657.00,800.45,1803.22,1785.12,931.08,794.77
gcd,cura,u,sp,505.17,1083.60,388.33,494.20,497.49,503.88,511.96,518.33,967.06,990.25,1020.46,1086.31,1353.92
